filesystem,iosize,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,3593,359.255,359,0,1.4mb/s,2.78,6.45,5.71,97.27
leanfs,32k,2791,279.064,279,0,8.7mb/s,3.58,5.00,5.05,97.30
leanfs,128k,2461,246.070,246,0,30.7mb/s,4.06,4.57,4.69,96.97
leanfs,1m,819,81.889,82,0,81.8mb/s,12.21,3.37,4.55,97.13
ext4,4k,9853,985.155,985,0,3.8mb/s,1.01,0.60,0.81,87.80
ext4,32k,8303,830.172,830,0,25.9mb/s,1.20,0.22,0.41,89.07
ext4,128k,6188,618.687,619,0,77.3mb/s,1.61,0.12,0.38,89.77
ext4,1m,2054,205.371,205,0,205.3mb/s,4.87,0.10,0.41,90.00
xfs,4k,9766,976.462,976,0,3.8mb/s,1.02,0.34,0.73,89.03
xfs,32k,8328,832.656,833,0,26.0mb/s,1.20,0.16,0.53,89.20
xfs,128k,6054,605.308,605,0,75.7mb/s,1.65,0.17,0.40,89.87
xfs,1m,1645,164.474,164,0,164.4mb/s,4.67,0.24,0.51,94.04
btrfs,4k,8806,880.477,880,0,3.4mb/s,1.13,0.10,0.68,82.80
btrfs,32k,7302,730.094,730,0,22.8mb/s,1.37,0.16,1.03,82.43
btrfs,128k,6222,622.102,622,0,77.8mb/s,1.61,0.28,1.80,81.56
btrfs,1m,17612,1760.947,1761,0,1760.8mb/s,0.57,0.11,6.21,47.70
