filesystem,size,ops,total_ops_per_sec,read_ops,write_ops,throughput,latency,avg_usr,avg_sys,avg_util
leanfs,4k,14028885,1402671.226,1402671,0,2739.6mb/s,0.00,4.99,11.95,82.97
leanfs,32k,11971293,1196929.173,1196929,0,4156.0mb/s,0.00,4.33,12.49,82.37
leanfs,1m,11248638,1124712.189,1124712,0,4376.3mb/s,0.00,4.15,12.56,83.47
leanfs,16m,5536783,553594.430,553594,0,2162.0mb/s,0.00,4.11,13.61,83.50
leanfs,64m,3208932,320843.148,320843,0,1253.2mb/s,0.00,8.14,12.63,87.77
leanfs,128m,1147814,114764.748,114765,0,448.3mb/s,0.01,11.48,12.13,90.80
leanfs,256m,155127,15510.586,15510,0,60.6mb/s,0.06,9.08,8.65,95.37
leanfs,512m,118402,11838.723,11839,0,46.2mb/s,0.08,7.58,7.47,96.06
leanfs,1g,77239,7722.818,7723,0,30.2mb/s,0.13,6.40,6.62,97.97
ext4,4k,14095475,1409315.949,1409316,0,2752.6mb/s,0.00,4.42,8.13,0.17
ext4,32k,12611049,1260913.241,1260913,0,4378.2mb/s,0.00,3.98,8.99,0.10
ext4,1m,11468507,1146654.507,1146654,0,4461.7mb/s,0.00,3.44,9.27,0.20
ext4,16m,6719453,671828.200,671828,0,2623.7mb/s,0.00,2.23,10.35,1.09
ext4,64m,7377953,737653.449,737653,0,2881.3mb/s,0.00,2.22,10.13,0.10
ext4,128m,7321233,731991.102,731991,0,2859.3mb/s,0.00,2.19,10.38,4.07
ext4,256m,7901244,789965.222,789965,0,3085.8mb/s,0.00,2.39,10.06,0.10
ext4,512m,8287955,828644.024,828644,0,3236.9mb/s,0.00,2.48,10.36,14.97
ext4,1g,8119646,811817.580,811817,0,3171.2mb/s,0.00,2.41,10.23,0.03
xfs,4k,13282209,1327970.710,1327971,0,2593.7mb/s,0.00,4.17,8.37,0.10
xfs,32k,12052365,1205045.500,1205045,0,4184.2mb/s,0.00,3.72,9.08,0.10
xfs,1m,10899436,1089772.288,1089772,0,4240.4mb/s,0.00,3.33,9.17,0.20
xfs,16m,6318062,631682.453,631682,0,2466.9mb/s,0.00,2.20,10.51,1.40
xfs,64m,7099267,709810.149,709810,0,2772.5mb/s,0.00,2.58,10.31,0.17
xfs,128m,7316456,731522.192,731522,0,2857.4mb/s,0.00,2.32,10.21,4.73
xfs,256m,7738636,773733.767,773734,0,3022.4mb/s,0.00,2.32,10.10,0.07
xfs,512m,7916278,791453.522,791453,0,3091.6mb/s,0.00,2.27,10.35,14.87
xfs,1g,8342607,834105.223,834105,0,3258.2mb/s,0.00,2.52,9.82,0.07
btrfs,4k,14292577,1429029.341,1429029,0,2791.1mb/s,0.00,4.38,8.19,0.00
btrfs,32k,12537691,1253547.974,1253548,0,4352.6mb/s,0.00,3.69,9.03,0.03
btrfs,1m,11453392,1145165.822,1145166,0,4455.9mb/s,0.00,3.21,9.15,0.13
btrfs,16m,6788168,678698.978,678699,0,2650.5mb/s,0.00,1.98,10.43,1.00
btrfs,64m,7007506,700631.773,700632,0,2736.7mb/s,0.00,2.14,10.47,2.97
btrfs,128m,7560401,755906.153,755906,0,2952.7mb/s,0.00,2.43,10.11,5.70
btrfs,256m,7803246,780184.791,780185,0,3047.5mb/s,0.00,2.36,10.16,8.40
btrfs,512m,8483014,848153.991,848154,0,3313.1mb/s,0.00,2.56,10.59,14.90
btrfs,1g,8362203,836109.683,836110,0,3266.0mb/s,0.00,2.71,10.80,33.10
